소관,입출분류,회계분류,계정,장(분야),관(부문),항(프로그램),금액_원안,계정별합계_원안,회계분류별합계_원안,소관총계_원안,증감액,수정금액_확정안,회계분류별합계_확정안,소관총계_확정안
국토교통부,세출,교통시설특별회계,도로계정,교통및물류,도로,공자기금 예탁(도로 계정),5579248000000,,,,-1832719000000,3746529000000,,
국토교통부,세출,교통시설특별회계,도로계정,교통및물류,물류등기타,국토교통연구개발,13948000000,,,,0,13948000000,,
국토교통부,세출,교통시설특별회계,도로계정,국토및지역개발,지역및도시,지역개발,10000000000,,,,0,10000000000,,
국토교통부,세출,교통시설특별회계,철도계정,교통및물류,철도,고속철도건설,33000000000,3482716000000,,,7000000000,40000000000,,
국토교통부,세출,교통시설특별회계,철도계정,교통및물류,철도,일반철도건설,2162200000000,,,,459000000000,2621200000000,,
국토교통부,세출,교통시설특별회계,철도계정,교통및물류,철도,철도안전및운영,742967000000,,,,0,742967000000,,
국토교통부,세출,교통시설특별회계,철도계정,교통및물류,철도,회계간거래(전출금),465000000000,,,,20200000000,485200000000,,
국토교통부,세출,교통시설특별회계,철도계정,교통및물류,물류등기타,국토교통연구개발,79549000000,,,,0,79549000000,,
국토교통부,세출,교통시설특별회계,교통체계관리계정,교통및물류,철도,도시철도건설,162496000000,225163000000,,,44400000000,206896000000,,
국토교통부,세출,교통시설특별회계,교통체계관리계정,교통및물류,철도,도시철도경영개선지원,9068000000,,,,0,9068000000,,
국토교통부,세출,교통시설특별회계,교통체계관리계정,교통및물류,물류등기타,국토교통정보화,168000000,,,,0,168000000,,
국토교통부,세출,교통시설특별회계,교통체계관리계정,교통및물류,물류등기타,대중교통육성,53431000000,,,,5850000000,59281000000,,
국토교통부,세출,교통시설특별회계,공항계정,교통및물류,항공.공항,일반공항건설및관리,17834000000,672243000000,,,4500000000,22334000000,,
국토교통부,세출,교통시설특별회계,공항계정,교통및물류,항공.공항,항공발전지원,106325000000,,,,8338000000,114663000000,,
국토교통부,세출,교통시설특별회계,공항계정,교통및물류,항공.공항,계정간거래(전출금),496301000000,,,,-13038000000,483263000000,,
국토교통부,세출,교통시설특별회계,공항계정,교통및물류,물류등기타,국토교통연구개발,51783000000,,,,0,51783000000,,
국토교통부,세출,교통시설특별회계,공항계정,교통및물류,물류등기타,항공발전지원,0,,,,200000000,200000000,,
국토교통부,세출,에너지및자원사업특별회계,투자계정,교통및물류,물류등기타,물류정책,5230000000,17480000000,17480000000,,0,5230000000,17480000000,
국토교통부,세출,에너지및자원사업특별회계,투자계정,교통및물류,물류등기타,국토교통정보화,3025000000,,,,0,3025000000,,
국토교통부,세출,에너지및자원사업특별회계,투자계정,교통및물류,물류등기타,기후변화대응,947000000,,,,0,947000000,,
국토교통부,세출,에너지및자원사업특별회계,투자계정,국토및지역개발,지역및도시,도시정책,8278000000,,,,0,8278000000,,
국토교통부,세출,혁신도시건설특별회계,-,국토및지역개발,지역및도시,지역개발,32476000000,,260220000000,,4500000000,36976000000,264632000000,
국토교통부,세출,혁신도시건설특별회계,-,국토및지역개발,지역및도시,회계기금간거래(예수원금상환),200000000000,,,,0,200000000000,,
국토교통부,세출,혁신도시건설특별회계,-,국토및지역개발,지역및도시,회계기금간거래(예수이자상환),27744000000,,,,-88000000,27656000000,,
국토교통부,세출,국가균형발전특별회계,지역자율계정,교통및물류,물류등기타,광역교통정책,173629000000,1102407000000,2899904000000,,9730000000,183359000000,3002404000000,
국토교통부,세출,국가균형발전특별회계,지역자율계정,국토및지역개발,수자원,하천관리,554180000000,,,,0,554180000000,,
국토교통부,세출,국가균형발전특별회계,지역자율계정,국토및지역개발,지역및도시,지역개발,211779000000,,,,0,211779000000,,
국토교통부,세출,국가균형발전특별회계,지역자율계정,국토및지역개발,지역및도시,도시정책,160277000000,,,,0,160277000000,,
국토교통부,세출,국가균형발전특별회계,지역자율계정,국토및지역개발,산업단지,산업단지개발및지원,2542000000,,,,0,2542000000,,
국토교통부,세출,국가균형발전특별회계,지역지원계정,교통및물류,도로,지자체도로건설지원,272114000000,1710540000000,,,44200000000,316314000000,,
국토교통부,세출,국가균형발전특별회계,지역지원계정,교통및물류,철도,광역철도건설,465000000000,,,,20200000000,485200000000,,
국토교통부,세출,국가균형발전특별회계,지역지원계정,교통및물류,물류등기타,국토교통연구개발,6345000000,,,,0,6345000000,,
국토교통부,세출,국가균형발전특별회계,지역지원계정,교통및물류,물류등기타,광역교통정책,83741000000,,,,10500000000,94241000000,,
국토교통부,세출,국가균형발전특별회계,지역지원계정,국토및지역개발,지역및도시,지역개발,170369000000,,,,10508000000,180877000000,,
국토교통부,세출,국가균형발전특별회계,지역지원계정,국토및지역개발,지역및도시,도시정책,478754000000,,,,0,478754000000,,
국토교통부,세출,국가균형발전특별회계,지역지원계정,국토및지역개발,지역및도시,국토정보관리,10546000000,,,,3662000000,14208000000,,
국토교통부,세출,국가균형발전특별회계,지역지원계정,국토및지역개발,산업단지,산업단지개발및지원,223671000000,,,,3700000000,227371000000,,
국토교통부,세출,국가균형발전특별회계,제주특별자치도계정,교통및물류,도로,국도건설,7471000000,67643000000,,,0,7471000000,,
국토교통부,세출,국가균형발전특별회계,제주특별자치도계정,교통및물류,도로,도로관리,29427000000,,,,0,29427000000,,
국토교통부,세출,국가균형발전특별회계,제주특별자치도계정,교통및물류,물류등기타,광역교통정책,3450000000,,,,0,3450000000,,
국토교통부,세출,국가균형발전특별회계,제주특별자치도계정,교통및물류,물류등기타,국토교통행정지원,3795000000,,,,0,3795000000,,
국토교통부,세출,국가균형발전특별회계,제주특별자치도계정,국토및지역개발,수자원,하천관리,9700000000,,,,0,9700000000,,
국토교통부,세출,국가균형발전특별회계,제주특별자치도계정,국토및지역개발,지역및도시,지역개발,5600000000,,,,0,5600000000,,
국토교통부,세출,국가균형발전특별회계,제주특별자치도계정,국토및지역개발,지역및도시,도시정책,8200000000,,,,0,8200000000,,
국토교통부,세출,국가균형발전특별회계,세종특별자치시계정,교통및물류,물류등기타,광역교통정책,1350000000,19314000000,,,0,1350000000,,
국토교통부,세출,국가균형발전특별회계,세종특별자치시계정,국토및지역개발,수자원,하천관리,5800000000,,,,0,5800000000,,
